# Wall shear stress
# Time        	patch         	min           	max           
54.5          	bottomWall	(-2.133265e+01 -2.562113e-01 0.000000e+00)	(-5.810372e+00 5.923674e-02 0.000000e+00)
55            	topWall	(-5.417086e-10 -3.247550e-06 0.000000e+00)	(1.162087e-08 -2.492259e-08 0.000000e+00)
55            	bottomWall	(-2.133265e+01 -2.562113e-01 0.000000e+00)	(-5.810372e+00 5.923674e-02 0.000000e+00)
55.5          	topWall	(-5.417086e-10 -3.247550e-06 0.000000e+00)	(1.162087e-08 -2.492259e-08 0.000000e+00)
55.5          	bottomWall	(-2.133265e+01 -2.562113e-01 0.000000e+00)	(-5.810372e+00 5.923674e-02 0.000000e+00)
56            	topWall	(-5.417086e-10 -3.247550e-06 0.000000e+00)	(1.162087e-08 -2.492259e-08 0.000000e+00)
56            	bottomWall	(-2.133265e+01 -2.562113e-01 0.000000e+00)	(-5.810372e+00 5.923674e-02 0.000000e+00)
56.5          	topWall	(-5.417086e-10 -3.247550e-06 0.000000e+00)	(1.162087e-08 -2.492259e-08 0.000000e+00)
56.5          	bottomWall	(-2.133265e+01 -2.562113e-01 0.000000e+00)	(-5.810372e+00 5.923674e-02 0.000000e+00)
57            	topWall	(-5.417086e-10 -3.247550e-06 0.000000e+00)	(1.162087e-08 -2.492259e-08 0.000000e+00)
57            	bottomWall	(-2.133265e+01 -2.562113e-01 0.000000e+00)	(-5.810372e+00 5.923674e-02 0.000000e+00)
57.5          	topWall	(-5.417086e-10 -3.247550e-06 0.000000e+00)	(1.162087e-08 -2.492259e-08 0.000000e+00)
57.5          	bottomWall	(-2.133265e+01 -2.562113e-01 0.000000e+00)	(-5.810372e+00 5.923674e-02 0.000000e+00)
58            	topWall	(-5.417086e-10 -3.247550e-06 0.000000e+00)	(1.162087e-08 -2.492259e-08 0.000000e+00)
58            	bottomWall	(-2.133265e+01 -2.562113e-01 0.000000e+00)	(-5.810372e+00 5.923674e-02 0.000000e+00)
58.5          	topWall	(-5.417086e-10 -3.247550e-06 0.000000e+00)	(1.162087e-08 -2.492259e-08 0.000000e+00)
58.5          	bottomWall	(-2.133265e+01 -2.562113e-01 0.000000e+00)	(-5.810372e+00 5.923674e-02 0.000000e+00)
59            	topWall	(-5.417086e-10 -3.247550e-06 0.000000e+00)	(1.162087e-08 -2.492259e-08 0.000000e+00)
59            	bottomWall	(-2.133265e+01 -2.562113e-01 0.000000e+00)	(-5.810372e+00 5.923674e-02 0.000000e+00)
59.5          	topWall	(-5.417086e-10 -3.247550e-06 0.000000e+00)	(1.162087e-08 -2.492259e-08 0.000000e+00)
59.5          	bottomWall	(-2.133265e+01 -2.562113e-01 0.000000e+00)	(-5.810372e+00 5.923674e-02 0.000000e+00)
60            	topWall	(-5.417086e-10 -3.247550e-06 0.000000e+00)	(1.162087e-08 -2.492259e-08 0.000000e+00)
60            	bottomWall	(-2.133265e+01 -2.562113e-01 0.000000e+00)	(-5.810372e+00 5.923674e-02 0.000000e+00)
