# Wall shear stress
# Time        	patch         	min           	max           
53.5          	bottomWall	(-4.852179e+01 -9.639566e-01 0.000000e+00)	(-5.074967e-01 -1.401772e-08 0.000000e+00)
54            	topWall	(-2.593969e-09 -9.634731e-07 0.000000e+00)	(1.487288e-08 -1.046920e-08 0.000000e+00)
54            	bottomWall	(-4.852159e+01 -9.639539e-01 0.000000e+00)	(-5.074812e-01 -1.401943e-08 0.000000e+00)
54.5          	topWall	(-2.593944e-09 -9.634748e-07 0.000000e+00)	(1.487289e-08 -1.046921e-08 0.000000e+00)
54.5          	bottomWall	(-4.852140e+01 -9.639512e-01 0.000000e+00)	(-5.074673e-01 -1.402099e-08 0.000000e+00)
55            	topWall	(-2.593922e-09 -9.634763e-07 0.000000e+00)	(1.487291e-08 -1.046922e-08 0.000000e+00)
55            	bottomWall	(-4.852122e+01 -9.639486e-01 0.000000e+00)	(-5.074547e-01 -1.402242e-08 0.000000e+00)
55.5          	topWall	(-2.593902e-09 -9.634776e-07 0.000000e+00)	(1.487292e-08 -1.046923e-08 0.000000e+00)
55.5          	bottomWall	(-4.852104e+01 -9.639461e-01 0.000000e+00)	(-5.074434e-01 -1.402372e-08 0.000000e+00)
56            	topWall	(-2.593884e-09 -9.634788e-07 0.000000e+00)	(1.487293e-08 -1.046924e-08 0.000000e+00)
56            	bottomWall	(-4.852087e+01 -9.639438e-01 0.000000e+00)	(-5.074335e-01 -1.402487e-08 0.000000e+00)
56.5          	topWall	(-2.593868e-09 -9.634798e-07 0.000000e+00)	(1.487294e-08 -1.046925e-08 0.000000e+00)
56.5          	bottomWall	(-4.852071e+01 -9.639415e-01 0.000000e+00)	(-5.074247e-01 -1.402592e-08 0.000000e+00)
57            	topWall	(-2.593853e-09 -9.634807e-07 0.000000e+00)	(1.487295e-08 -1.046925e-08 0.000000e+00)
57            	bottomWall	(-4.852055e+01 -9.639392e-01 0.000000e+00)	(-5.074167e-01 -1.402687e-08 0.000000e+00)
57.5          	topWall	(-2.593840e-09 -9.634815e-07 0.000000e+00)	(1.487296e-08 -1.046926e-08 0.000000e+00)
57.5          	bottomWall	(-4.852039e+01 -9.639371e-01 0.000000e+00)	(-5.074095e-01 -1.402775e-08 0.000000e+00)
58            	topWall	(-2.593828e-09 -9.634822e-07 0.000000e+00)	(1.487296e-08 -1.046926e-08 0.000000e+00)
58            	bottomWall	(-4.852024e+01 -9.639350e-01 0.000000e+00)	(-5.074030e-01 -1.402855e-08 0.000000e+00)
58.5          	topWall	(-2.593818e-09 -9.634829e-07 0.000000e+00)	(1.487297e-08 -1.046927e-08 0.000000e+00)
58.5          	bottomWall	(-4.852010e+01 -9.639330e-01 0.000000e+00)	(-5.073971e-01 -1.402928e-08 0.000000e+00)
59            	topWall	(-2.593809e-09 -9.634834e-07 0.000000e+00)	(1.487298e-08 -1.046927e-08 0.000000e+00)
59            	bottomWall	(-4.851997e+01 -9.639311e-01 0.000000e+00)	(-5.073921e-01 -1.402990e-08 0.000000e+00)
59.5          	topWall	(-2.593800e-09 -9.634839e-07 0.000000e+00)	(1.487298e-08 -1.046928e-08 0.000000e+00)
59.5          	bottomWall	(-4.851984e+01 -9.639293e-01 0.000000e+00)	(-5.073875e-01 -1.403048e-08 0.000000e+00)
60            	topWall	(-2.593793e-09 -9.634843e-07 0.000000e+00)	(1.487299e-08 -1.046928e-08 0.000000e+00)
60            	bottomWall	(-4.851971e+01 -9.639275e-01 0.000000e+00)	(-5.073834e-01 -1.403101e-08 0.000000e+00)
